자치구,사고년도,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
강남구,2017년,73,27,24,34,73,69,99,87,66,74,85,98
강남구,2018년,60,38,33,34,52,57,85,79,78,94,76,62
강남구,2019년,72,42,18,27,59,57,104,98,88,111,73,73
강남구,2020년,37,27,14,19,59,65,89,73,90,102,79,61
강남구,2021년,17,11,6,15,61,63,88,67,81,92,76,79
강동구,2017년,29,17,16,12,45,36,37,48,51,58,41,35
강동구,2018년,17,15,15,18,33,37,36,35,56,50,45,35
강동구,2019년,19,14,16,19,51,28,36,60,60,51,50,31
강동구,2020년,13,5,14,10,21,24,34,52,46,57,35,31
강동구,2021년,4,1,7,14,19,17,21,29,38,40,24,27
강북구,2017년,39,27,18,20,42,35,34,39,46,50,49,31
강북구,2018년,29,19,14,24,32,38,32,38,48,53,36,33
강북구,2019년,23,16,13,18,33,28,41,40,47,54,49,33
강북구,2020년,13,8,14,8,14,20,36,30,34,32,31,31
강북구,2021년,9,4,6,8,22,17,29,36,46,27,34,21
강서구,2017년,22,10,11,23,38,39,42,37,51,44,49,34
강서구,2018년,23,14,18,29,40,32,24,37,43,41,48,36
강서구,2019년,21,18,25,25,48,41,44,43,56,65,39,38
강서구,2020년,22,8,6,21,27,29,34,41,39,43,43,30
강서구,2021년,5,6,4,16,28,33,31,38,48,53,40,34
관악구,2017년,22,20,24,20,26,25,30,30,38,46,51,34
관악구,2018년,22,15,15,20,28,41,32,32,46,42,29,31
관악구,2019년,32,19,16,16,27,28,29,37,41,38,31,35
관악구,2020년,24,10,16,9,30,30,34,35,36,43,29,29
관악구,2021년,4,5,5,17,22,32,32,40,38,52,39,27
광진구,2017년,33,10,12,11,23,13,16,36,37,36,39,16
광진구,2018년,24,9,12,10,19,20,35,18,31,21,35,29
광진구,2019년,22,11,4,11,17,16,21,29,39,34,31,23
광진구,2020년,11,6,7,8,18,21,17,16,13,28,23,19
광진구,2021년,7,2,4,10,20,26,15,27,28,15,33,20
구로구,2017년,14,8,22,21,28,30,41,37,39,46,38,44
구로구,2018년,23,8,18,20,36,31,27,43,48,50,40,32
구로구,2019년,23,11,14,23,35,31,39,37,59,64,42,29
구로구,2020년,17,13,9,13,27,26,27,32,33,38,27,31
구로구,2021년,4,3,6,15,35,22,30,25,40,36,40,16
금천구,2017년,14,8,9,15,24,19,21,30,24,34,25,26
금천구,2018년,20,6,12,21,17,30,18,23,29,35,30,25
금천구,2019년,14,11,11,12,22,15,27,19,28,42,37,20
금천구,2020년,15,5,11,7,17,17,23,20,18,21,26,17
금천구,2021년,1,0,4,8,20,19,19,22,18,30,20,12
노원구,2017년,18,14,14,22,33,41,28,42,43,43,44,28
노원구,2018년,27,7,24,19,37,24,29,35,46,56,50,26
노원구,2019년,13,6,15,32,38,39,32,44,55,62,48,28
노원구,2020년,6,5,6,17,19,23,25,36,45,43,37,19
노원구,2021년,5,2,8,14,27,29,26,28,48,34,36,21
도봉구,2017년,17,8,4,17,28,26,23,27,40,44,44,25
도봉구,2018년,10,4,3,10,34,21,29,33,40,53,21,24
도봉구,2019년,6,10,6,9,30,23,27,30,40,38,27,17
도봉구,2020년,5,2,9,7,37,20,18,28,26,27,24,20
도봉구,2021년,4,1,5,7,23,17,14,20,22,18,18,16
동대문구,2017년,20,15,18,30,54,53,48,61,45,62,62,46
동대문구,2018년,17,12,20,22,38,50,69,50,63,55,51,41
동대문구,2019년,15,10,12,14,41,40,56,44,59,51,43,35
동대문구,2020년,10,6,12,15,28,46,45,38,32,49,28,16
동대문구,2021년,4,5,10,16,39,33,44,33,36,39,28,19
동작구,2017년,22,12,17,18,25,31,49,38,48,53,42,31
동작구,2018년,19,11,19,20,53,24,42,39,49,60,47,39
동작구,2019년,15,9,9,20,45,34,41,48,43,54,43,37
동작구,2020년,10,5,8,16,25,25,31,36,44,47,33,27
동작구,2021년,5,3,4,10,33,33,35,34,34,48,28,17
마포구,2017년,37,30,20,23,34,39,29,52,44,51,46,55
마포구,2018년,27,24,26,19,31,34,42,36,33,46,45,34
마포구,2019년,24,19,21,19,22,30,36,35,29,41,45,38
마포구,2020년,24,12,13,9,15,20,21,29,32,37,29,22
마포구,2021년,12,2,3,7,14,16,23,25,31,35,27,31
서대문구,2017년,22,7,12,9,30,28,35,27,40,39,41,18
서대문구,2018년,21,10,12,15,34,26,36,28,47,49,28,19
서대문구,2019년,21,10,15,18,27,27,24,34,48,48,27,25
서대문구,2020년,13,6,5,10,22,15,25,26,17,34,18,14
서대문구,2021년,1,2,7,14,12,24,27,27,30,29,25,17
서초구,2017년,35,21,16,30,49,54,63,61,52,75,52,48
서초구,2018년,33,18,15,28,57,57,51,45,38,62,62,57
서초구,2019년,38,26,17,19,32,35,52,43,51,57,49,39
서초구,2020년,25,9,5,15,29,35,42,42,47,65,42,36
서초구,2021년,16,8,4,19,38,38,47,44,40,47,42,32
성동구,2017년,19,4,15,10,22,23,23,25,27,28,25,21
성동구,2018년,18,9,7,16,32,20,23,28,37,32,24,25
성동구,2019년,20,4,4,11,27,17,24,31,25,24,17,20
성동구,2020년,11,2,6,7,22,26,28,33,22,35,27,23
성동구,2021년,0,3,2,14,22,33,29,25,26,32,24,32
성북구,2017년,21,11,15,15,47,36,44,36,47,66,41,31
성북구,2018년,25,9,18,15,50,34,34,45,42,43,37,35
성북구,2019년,14,6,8,26,52,47,31,44,58,46,40,34
성북구,2020년,11,6,12,22,25,38,49,38,29,48,36,26
성북구,2021년,6,1,5,16,25,28,27,45,33,42,35,32
송파구,2017년,52,27,26,29,46,36,56,57,74,79,64,71
송파구,2018년,51,29,25,30,50,34,53,82,68,80,79,63
송파구,2019년,30,23,15,25,55,41,43,63,81,87,58,65
송파구,2020년,28,11,8,16,41,38,53,58,64,67,53,35
송파구,2021년,11,5,3,26,44,41,51,49,61,73,63,37
양천구,2017년,17,8,14,31,41,27,29,53,41,44,32,31
양천구,2018년,19,4,18,21,29,31,37,43,43,42,49,30
양천구,2019년,13,4,12,18,41,34,36,34,47,57,45,31
양천구,2020년,16,7,7,13,18,25,35,27,32,45,34,20
양천구,2021년,10,0,4,19,26,14,34,47,45,39,24,21
영등포구,2017년,51,22,23,22,48,46,51,57,49,75,45,64
영등포구,2018년,38,26,23,31,52,48,49,52,61,59,55,65
영등포구,2019년,35,12,12,23,68,43,68,64,60,70,56,45
영등포구,2020년,20,10,10,21,35,39,35,40,31,44,43,41
영등포구,2021년,3,1,5,17,30,36,42,38,41,46,45,30
용산구,2017년,17,14,10,15,20,26,27,34,37,31,28,27
용산구,2018년,14,17,21,21,32,26,19,26,27,35,26,30
용산구,2019년,22,14,24,10,16,15,34,28,17,34,23,22
용산구,2020년,10,3,5,5,16,23,9,19,20,13,22,10
